product_name,price,price_original,image,product_url,category,subcategory,brand,description
ACID Blue Kuba Kuba 5Pack,25.99,$57.58 · Now $43.79,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/11257/34654/ACID_KUBA_KUBA_BOX_5_PACK__63505.1775150903.png?c=3,https://www.gothamcigars.com/acid-blue-kuba-kuba-5pack,cigar,Premium Cigars,Acid Blue,"The ACID Blue Kuba Kuba 5Pack offers a uniquely sweet and satisfying smoking experience with a rich blend of botanicals and essential oils. Made by the famous Drew Estate, these infused cigars are smooth, flavorful, and extremely popular, making them a..."
ACID Blue Kuba Kuba Maduro,25.99,$283.20 · Now $218.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6030/25324/ACID_KUBA_KUBA_MADURO__10417.1724394999.png?c=3,https://www.gothamcigars.com/acid-blue-kuba-kuba-maduro,cigar,Premium Cigars,Acid Blue,"Acid Blue Kuba Kuba Maduro Cigars are packed with bold flavor and a sweet, smooth finish. Infused with unique herbs and botanicals, these cigars have a rich aroma and a one-of-a-kind taste that stands out from the rest. Made by Drew Estate,..."
ACID Collectors Stash Tin,25.99,$91.80 · Now $70.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6440/25333/ACID-COLLECTORS-STASH__65415.1739594038.png?c=3,https://www.gothamcigars.com/acid-collectors-stash-tin,cigar,Premium Cigars,Acid Cigars,"Acid Collector's Stash Tin is a special collection of unique, flavorful cigars made by Drew Estate. Each cigar is expertly infused with a blend of herbs, botanicals, and essential oils, creating a one-of-a-kind smoking experience. With a..."
Acid Croqueta,25.99,$287.50 · Now $42.99 - $189.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/11256/34661/Acid-Croqueta---Box-with-Single-Tube-Dual-Stick__72456.1775156004.jpg?c=3,https://www.gothamcigars.com/acid-croqueta,cigar,Premium Cigars,Acid Blue,"The Acid Croqueta offers a quick and uniquely sweet smoking experience with a rich blend of botanicals and herbs. Made by the famous Drew Estate, these little infused cigars are flavorful, aromatic, and easy to enjoy, making them perfect for smokers who..."
ACID Fresh Pack Ultimate Bundle,25.99,$194.05 · Now $139.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/11039/32524/Acid-Fresh-Pack-Super-Bundle__01784.1716318198.jpg?c=3,https://www.gothamcigars.com/acid-fresh-pack-ultimate-bundle,cigar,Premium Cigars,Acid,Acid Fresh Pack Ultimate Bundle is an excellent value featuring Acid's most popular fresh packs. Fresh packs are a convenient way to keep your cigars fresh anywhere you go. Acid Fresh Pack Ultimate Bundle includes: 4 x 38 (Petit Corona) Acid Blue...
ACID Krush Blue Connecticut Tin,25.99,$110.00 · Now $81.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7020/25663/ACID-KRUSH-CLASSIC-BLUE__19409.1739335386.jpg?c=3,https://www.gothamcigars.com/acid-krush-blue-connecticut-tin,cigarillo,Premium Cigars,Acid Krush,"ACID Krush Blue Connecticut is a smooth, aromatic cigarillo that's packed with flavor! Wrapped in a silky Connecticut Shade leaf, this cigar offers a mellow, creamy smoke with a hint of sweetness. Infused with ACID's signature blend..."
ACID Krush Gold Sumatra Tin,25.99,$110.00 · Now $81.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7018/33011/Acid-Krush-Gold-Sumatran-Tin---Box__04529.1740679645.png?c=3,https://www.gothamcigars.com/acid-krush-gold-sumatra-tin,cigarillo,Premium Cigars,Acid Krush,"ACID Krush Gold Sumatra is a small cigar packed with bold, exotic flavor! Wrapped in a rich Sumatra leaf, these cigars offer a smooth, spicy, and aromatic smoking experience. Infused with ACID's signature blend of botanicals and herbs,..."
ACID Krush Morado Maduro Tin,25.99,$110.00 · Now $81.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7014/34618/ACID-Krush-Morado-Maduro-Tin---Box__48392.1774280679.jpg?c=3,https://www.gothamcigars.com/acid-krush-morado-maduro-tin,cigarillo,Premium Cigars,Acid Krush,"ACID Krush Morado Maduro is a small cigar with big, bold flavor! Wrapped in a dark and rich Maduro leaf, these cigars offer a smooth, aromatic smoking experience. Infused with ACID's signature blend of botanicals and flavors, every draw is..."
ACID Krush Red Cameroon Tin,25.99,$110.00 · Now $81.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7013/25661/ACID-CIGARS-RED-CAMEROON-BOX__62755.1739159347.jpg?c=3,https://www.gothamcigars.com/acid-krush-red-cameroon-tin,cigarillo,Premium Cigars,Acid Krush,"ACID Krush Red Cameroon packs bold flavor into a small cigar! Wrapped in a rich Cameroon leaf, these cigars offer a spicy, full-bodied experience with a smooth finish. Infused with ACID's signature blend of botanicals, every draw is rich,..."
ACID Kuba Grande,25.99,$152.00 · Now $117.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6200/24609/ACID_KUBA_BOX__19213.1724371018.png?c=3,https://www.gothamcigars.com/acid-kuba-grande,cigar,Premium Cigars,Acid Kuba,"Acid Kuba Grande is a big, bold, and flavorful cigar made by Drew Estate. It's handmade using high-quality Nicaraguan tobacco and infused with a unique blend of herbs and botanicals, giving it a one-of-a-kind taste. With a smooth draw and..."
ACID Kuba Kuba Maduro Fresh Pack,25.99,$59.00 · Now $43.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10589/30359/Acid-Kuba-Kuba-Maduro-Fresh-Pack__52227.1675118463.jpg?c=3,https://www.gothamcigars.com/acid-kuba-kuba-maduro-fresh-pack,cigar,Premium Cigars,Acid Kuba,"Acid Kuba Kuba Maduro Fresh Pack cigars are packed with a wonderful blend of Nicaraguan tobacco leaves aged for months in aroma rooms filled with over 150 herbs, essential oils, spices, and natural botanicals. Infused with a motley of rich flavors,..."
ACID Kuba Kuba Natural Fresh Pack,25.99,$53.75 · Now $43.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/8755/28042/Acid-Kuba-Kuba-5-Pack-Natural__13548.1626295243.jpg?c=3,https://www.gothamcigars.com/acid-kuba-kuba-natural-fresh-pack,cigar,Premium Cigars,Acid Cigars,"ACID Kuba Kuba Natural Fresh Pack delivers an unforgettable smoking experience with bold, aromatic flavors. Crafted by Drew Estate, these premium cigars are expertly infused with a unique blend of botanicals, herbs, and spices, creating a one-of-a-kind..."
ACID Kuba Kuba Natural vs Maduro Fresh Pack Bundle,25.99,$105.00 · Now $77.25,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/11075/32769/Acid-Kuba-Kuba-Natural-vs-Maduro-Fresh-Pack-Bundle__69777.1726508880.png?c=3,https://www.gothamcigars.com/acid-kuba-kuba-natural-vs-maduro-fresh-pack-bundle,cigar,Premium Cigars,Acid,Acid Kuba Kuba Natural vs Maduro Fresh Pack Bundle includes: Acid Kuba Kuba Maduro Fresh Pack Acid Kuba Kuba Natural Fresh Pack
ACID Kubariety,25.99,$22.85 · Now $17.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10803/32779/Acid_Kubariety__35163.1721403815.png?c=3,https://www.gothamcigars.com/acid-kubariety,cigar,Premium Cigars,Acid,"Acid Kubariety debuted February 2023 and showcases the diversity of the Drew Estate portfolio of cigars. Each humidified pack contains three cigars for the price of two of the wildly popular Acid Kuba Kuba, Drew Estate's most popular flavored cigar. The..."
ACID Purple C-Note,25.99,$185.00 · Now $139.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7025/24464/C_NOTES_BOX__41829.1720209499.png?c=3,https://www.gothamcigars.com/acid-purple-c-note,cigarillo,Premium Cigars,Acid Purple,"ACID Purple C-Note proves that big flavor can come in a small package! These mini cigarillos are infused with ACID's signature blend of botanicals and exotic flavors for a unique, aromatic smoke. Wrapped in a dark Sumatra leaf, they..."
ACID Purple Extra Ordinary Larry,25.99,$152.00 · Now $113.99 - $119.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7022/24699/ACID_EXTRAORDINARY_BOX__58865.1739391177.png?c=3,https://www.gothamcigars.com/acid-purple-extra-ordinary-larry,cigar,Premium Cigars,Acid Purple,"ACID Purple Extra Ordinary Larry is a cigar that lives up to its name! Packed with bold flavors and deep aromas, this full-bodied cigar is infused with ACID's signature blend of botanicals and exotic flavors. Wrapped in a dark, oily Maduro..."
